candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,cv_mean_accuracy,cv_std_accuracy,total_fit_seconds,completed_folds
stage3_356,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,0.705125,0.012483739423746405,20.985999999999997,5
stage3_377,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,0.705125,0.012792820252000722,24.656,5
stage3_413,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",96,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 96}",stage3_local_cv,0.7050000000000001,0.011089127558108458,18.935,5
stage3_055,stage3_seed_0,"{""model__C"": 3.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",64,3.0,0.08,"{""model__C"": 3.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",stage3_local_cv,0.705,0.08948027017169762,19.891000000000002,5
stage3_336,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",84,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",stage3_local_cv,0.7041250000000001,0.012993988994916068,18.319,5
stage3_062,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",64,4.0,0.08,"{""model__C"": 4.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",stage3_local_cv,0.701125,0.08995867106621797,19.769,5
stage3_069,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",64,6.0,0.08,"{""model__C"": 6.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",stage3_local_cv,0.6986249999999999,0.09290401632868196,22.752,5
stage3_076,stage3_seed_0,"{""model__C"": 8.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",64,8.0,0.08,"{""model__C"": 8.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",stage3_local_cv,0.69775,0.09421269155480061,20.649,5
stage3_083,stage3_seed_0,"{""model__C"": 12.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",64,12.0,0.08,"{""model__C"": 12.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",stage3_local_cv,0.6943750000000001,0.09474719652844615,21.306,5
stage3_104,stage3_seed_0,"{""model__C"": 4.0, ""model__gamma"": 0.08, ""pca__n_components"": 68}",68,4.0,0.08,"{""model__C"": 4.0, ""model__gamma"": 0.08, ""pca__n_components"": 68}",stage3_local_cv,0.69425,0.09464935287681578,22.273999999999997,5
