candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage3_375,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",88,24.0,0.02,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",stage3_local_cv,0,0.7925,6.132
stage3_375,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",88,24.0,0.02,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",stage3_local_cv,1,0.80125,6.225
stage3_375,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",88,24.0,0.02,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",stage3_local_cv,2,0.7875,4.663
stage3_375,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",88,24.0,0.02,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",stage3_local_cv,3,0.789375,5.981
stage3_375,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",88,24.0,0.02,"{""model__C"": 24.0, ""model__gamma"": 0.02, ""pca__n_components"": 88}",stage3_local_cv,4,0.789375,5.835
stage3_376,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,4.0,scale,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,0,0.799375,4.819
stage3_376,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,4.0,scale,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,1,0.781875,4.868
stage3_376,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,4.0,scale,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,2,0.77875,6.014
stage3_376,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,4.0,scale,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,3,0.783125,4.767
stage3_376,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",92,4.0,scale,"{""model__C"": 4.0, ""model__gamma"": ""scale"", ""pca__n_components"": 92}",stage3_local_cv,4,0.785625,4.794
stage3_377,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,0,0.719375,5.413
stage3_377,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,1,0.6975,5.032
stage3_377,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,2,0.689375,4.124
