candidate_id,source,signature,feature__set,feature__raw_pca,scale__method,model__family,model__n_neighbors,model__metric,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage1_065,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",fft,32,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,2,0.93375,2.019
stage1_071,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,32,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,2,0.9325,2.731
stage1_089,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,16,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,2,0.933125,1.557
stage1_100,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,32,standard,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,2,0.933125,1.948
stage1_082,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,0,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,2,0.92875,1.247
stage1_083,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,0,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,2,0.936875,1.224
stage1_095,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,16,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,2,0.931875,1.513
stage1_106,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,32,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,2,0.929375,2.188
stage1_070,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,32,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,2,0.925,2.7
stage1_064,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",fft,32,standard,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,2,0.930625,1.692
stage1_047,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,0,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,2,0.9225,1.06
